model,idx,bks,pred,gap_pct,miss,over,rout,mcap,time,prec,total,feasible
SFT,106,1037,1037,0.00,0,0,0,0,0,0,0,Yes
SFT,107,1100,1264,14.91,0,0,0,0,0,0,0,Yes
SFT,108,2524,4465,76.90,0,184,36,140,12,25,397,No
SFT,109,562,562,0.00,0,0,0,0,0,0,0,Yes
SFT,110,1426,1454,1.96,0,0,0,0,0,0,0,Yes
SFT,111,59,59,0.00,0,0,0,0,0,0,0,Yes
SFT,112,2212,2433,9.99,0,1,0,1,0,0,2,No
SFT,113,1238,1238,0.00,0,0,0,0,0,0,0,Yes
SFT,114,992,1309,31.96,0,0,0,0,0,0,0,Yes
SFT,115,1663,1707,2.65,0,0,0,0,0,0,0,Yes
SFT,116,649,744,14.64,0,0,0,0,0,0,0,Yes
SFT,117,1539,1539,0.00,0,0,0,0,0,0,0,Yes
SFT,118,1347,1443,7.13,0,0,0,0,0,0,0,Yes
SFT,119,1834,1904,3.82,0,0,0,0,0,0,0,Yes
SFT,120,2392,2392,0.00,0,0,0,0,0,0,0,Yes
SFT,121,1218,1218,0.00,0,0,0,0,0,0,0,Yes
SFT,122,1534,1695,10.50,0,0,0,0,0,0,0,Yes
SFT,123,1404,1428,1.71,0,0,0,0,0,0,0,Yes
SFT,124,96,96,0.00,0,0,0,0,0,0,0,Yes
SFT,125,1082,1082,0.00,0,0,0,0,0,0,0,Yes
SFT,126,563,632,12.26,0,1,0,0,0,0,1,No
SFT,127,655,655,0.00,0,0,0,0,0,0,0,Yes
SFT,128,982,982,0.00,0,0,0,0,0,0,0,Yes
SFT,129,638,638,0.00,0,0,0,0,0,0,0,Yes
SFT,130,646,646,0.00,0,0,0,0,0,0,0,Yes
SFT,131,1110,1110,0.00,0,0,0,0,0,0,0,Yes
SFT,132,1385,1497,8.09,0,0,0,0,0,0,0,Yes
SFT,133,645,682,5.74,0,0,0,0,0,0,0,Yes
SFT,134,741,856,15.52,0,0,0,0,0,0,0,Yes
SFT,135,1895,2030,7.12,0,0,0,0,0,0,0,Yes
SFT,136,667,676,1.35,0,0,0,0,0,0,0,Yes
SFT,137,874,874,0.00,0,0,0,0,0,0,0,Yes
SFT,138,329,334,1.52,0,0,0,0,0,0,0,Yes
SFT,139,1882,2065,9.72,0,0,0,0,0,0,0,Yes
SFT,140,2525,2782,10.18,0,0,0,0,0,0,0,Yes
SFT,141,267,267,0.00,0,0,0,0,0,0,0,Yes
SFT,142,1214,1214,0.00,0,0,0,0,0,0,0,Yes
SFT,143,1267,1479,16.73,0,0,0,0,0,0,0,Yes
SFT,144,433,434,0.23,0,0,0,0,0,0,0,Yes
SFT,145,2043,2323,13.71,0,0,0,0,0,0,0,Yes
SFT,146,2021,2083,3.07,0,0,0,0,0,0,0,Yes
SFT,147,1672,1848,10.53,0,0,0,0,0,0,0,Yes
SFT,148,337,337,0.00,0,0,0,0,0,0,0,Yes
SFT,149,2140,2140,0.00,0,0,0,0,0,0,0,Yes
SFT,150,1577,1904,20.74,0,0,0,0,0,0,0,Yes
SFT,151,2704,3072,13.61,0,0,0,0,0,0,0,Yes
SFT,152,1667,1667,0.00,0,0,0,0,0,0,0,Yes
SFT,153,1143,1296,13.39,0,0,0,0,0,0,0,Yes
SFT,154,1329,1525,14.75,0,0,0,0,0,0,0,Yes
SFT,155,517,544,5.22,0,0,0,0,0,0,0,Yes
SFT,156,2335,2737,17.22,0,0,0,0,0,0,0,Yes
SFT,157,557,557,0.00,0,0,0,0,0,0,0,Yes
SFT,158,1455,1491,2.47,0,0,0,0,0,0,0,Yes
SFT,159,507,534,5.33,0,0,0,0,0,0,0,Yes
SFT,160,22,22,0.00,0,0,0,0,0,0,0,Yes
SFT,161,1549,1606,3.68,0,0,0,0,0,0,0,Yes
SFT,162,155,192,23.87,0,0,0,0,0,0,0,Yes
SFT,163,658,670,1.82,0,0,0,0,0,0,0,Yes
SFT,164,287,287,0.00,0,0,0,0,0,0,0,Yes
SFT,165,1178,1200,1.87,0,0,0,0,0,0,0,Yes
SFT,166,815,839,2.94,0,0,0,0,0,0,0,Yes
SFT,167,142,142,0.00,0,0,0,0,0,0,0,Yes
SFT,168,2328,2328,0.00,0,0,0,0,0,0,0,Yes
SFT,169,2515,2515,0.00,0,0,0,0,0,0,0,Yes
SFT,170,1699,1699,0.00,0,0,0,0,0,0,0,Yes
SFT,171,1405,1469,4.56,0,0,0,0,0,0,0,Yes
SFT,172,1261,1452,15.15,0,0,0,0,0,0,0,Yes
SFT,173,788,788,0.00,0,0,0,0,0,0,0,Yes
SFT,174,1484,1562,5.26,0,0,0,0,0,0,0,Yes
SFT,175,2098,1995,-4.91,3,0,0,0,0,0,3,No
SFT,176,895,957,6.93,0,0,0,0,0,0,0,Yes
SFT,177,1529,1720,12.49,0,0,0,0,0,0,0,Yes
SFT,178,1381,1472,6.59,0,0,0,0,0,0,0,Yes
SFT,179,3033,3029,-0.13,1,0,0,0,0,0,1,No
SFT,180,1068,1088,1.87,0,0,0,0,0,0,0,Yes
SFT,181,265,282,6.42,0,0,0,0,0,0,0,Yes
SFT,182,2309,2337,1.21,0,0,0,0,0,0,0,Yes
SFT,183,490,520,6.12,0,0,0,0,0,0,0,Yes
SFT,184,383,444,15.93,0,0,0,0,0,0,0,Yes
SFT,185,140,140,0.00,0,0,0,0,0,0,0,Yes
SFT,186,1599,1840,15.07,0,0,0,2,0,0,2,No
SFT,187,829,865,4.34,0,0,0,0,0,0,0,Yes
SFT,188,1564,1598,2.17,0,0,0,0,0,0,0,Yes
SFT,189,1682,1915,13.85,0,0,0,0,0,0,0,Yes
SFT,190,1375,1423,3.49,0,0,0,0,0,0,0,Yes
SFT,191,817,828,1.35,0,0,0,0,0,0,0,Yes
SFT,192,1458,1626,11.52,0,0,0,0,0,0,0,Yes
SFT,193,543,543,0.00,0,0,0,0,0,0,0,Yes
SFT,194,1121,1121,0.00,0,0,0,0,0,0,0,Yes
SFT,195,1243,1404,12.95,0,0,0,0,0,0,0,Yes
SFT,196,861,878,1.97,0,0,0,0,0,0,0,Yes
SFT,197,360,403,11.94,0,0,0,0,0,0,0,Yes
SFT,198,2965,3545,19.56,0,0,0,0,0,0,0,Yes
SFT,199,431,493,14.39,0,0,0,0,0,0,0,Yes
V1,0,1972,2078,5.38,0,0,0,0,0,0,0,Yes
V1,1,120,120,0.00,0,0,0,0,0,0,0,Yes
V1,2,76,76,0.00,0,0,0,0,0,0,0,Yes
V1,3,2320,2320,0.00,0,0,0,0,0,0,0,Yes
V1,4,2464,2539,3.04,0,0,0,0,0,0,0,Yes
V1,5,1165,1355,16.31,0,0,0,0,0,0,0,Yes
V1,6,1160,1223,5.43,0,0,0,0,0,0,0,Yes
V1,7,673,673,0.00,0,0,0,0,0,0,0,Yes
V1,8,1335,1366,2.32,0,0,0,0,0,0,0,Yes
V1,9,90,105,16.67,0,0,0,0,0,0,0,Yes
V1,10,939,939,0.00,0,0,0,0,0,0,0,Yes
V1,11,741,741,0.00,0,0,0,0,0,0,0,Yes
V1,12,92,92,0.00,0,0,0,0,0,0,0,Yes
V1,13,4009,4513,12.57,1,0,0,0,1,0,2,No
V1,14,1258,1419,12.80,0,0,0,0,0,0,0,Yes
V1,15,1290,1390,7.75,0,0,0,0,0,0,0,Yes
V1,16,1715,1771,3.27,0,0,0,0,0,0,0,Yes
V1,17,1913,1913,0.00,0,0,0,0,0,0,0,Yes
V1,18,571,572,0.18,0,0,0,0,0,0,0,Yes
V1,19,2377,2377,0.00,0,0,0,0,0,0,0,Yes
V1,20,1375,1399,1.75,0,0,0,0,0,0,0,Yes
V1,21,1166,1166,0.00,0,0,0,0,0,0,0,Yes
V1,22,2331,2935,25.91,0,0,0,0,0,0,0,Yes
V1,23,1641,1641,0.00,0,0,0,0,0,0,0,Yes
V1,24,868,868,0.00,0,0,0,0,0,0,0,Yes
V1,25,1462,1462,0.00,0,0,0,0,0,0,0,Yes
V1,26,3228,3727,15.46,0,0,0,0,0,0,0,Yes
V1,27,1926,2193,13.86,0,0,0,0,0,0,0,Yes
V1,28,1303,1335,2.46,0,0,0,0,0,0,0,Yes
V1,29,1541,1925,24.92,0,0,0,0,0,0,0,Yes
V1,30,2579,3009,16.67,0,0,0,0,0,0,0,Yes
V1,31,1364,1588,16.42,0,0,0,0,0,0,0,Yes
V1,32,817,817,0.00,0,0,0,0,0,0,0,Yes
V1,33,2440,2440,0.00,0,0,0,0,0,0,0,Yes
V1,34,1161,1340,15.42,0,0,0,0,0,0,0,Yes
V1,35,567,614,8.29,0,0,0,0,0,0,0,Yes
V1,36,2848,2848,0.00,0,0,0,0,0,0,0,Yes
V1,37,955,1025,7.33,0,0,0,0,0,0,0,Yes
V1,38,1257,1370,8.99,0,0,0,0,0,0,0,Yes
V1,39,670,670,0.00,0,0,0,0,0,0,0,Yes
V1,40,2019,2019,0.00,0,0,0,0,0,0,0,Yes
V1,41,2732,2878,5.34,0,0,0,0,0,0,0,Yes
V1,42,1993,2021,1.40,0,0,0,0,0,0,0,Yes
V1,43,284,284,0.00,0,0,0,0,0,0,0,Yes
V1,44,1289,1345,4.34,0,0,0,0,0,0,0,Yes
V1,45,945,947,0.21,0,0,0,0,0,0,0,Yes
V1,46,1921,2065,7.50,0,0,0,0,0,0,0,Yes
V1,47,1664,1665,0.06,0,0,0,0,0,0,0,Yes
V1,48,135,135,0.00,0,0,0,0,0,0,0,Yes
V1,49,824,824,0.00,0,0,0,0,0,0,0,Yes
V1,50,2367,2551,7.77,1,1,0,0,0,0,2,No
V1,51,981,1005,2.45,0,0,0,0,0,0,0,Yes
V1,52,2122,2292,8.01,0,0,0,0,0,0,0,Yes
V1,53,694,694,0.00,0,0,0,0,0,0,0,Yes
V1,54,1806,2157,19.44,0,0,0,0,0,0,0,Yes
V1,55,143,152,6.29,0,0,0,0,0,0,0,Yes
V1,56,2288,2655,16.04,0,0,2,0,0,2,4,No
V1,57,592,596,0.68,0,0,0,0,0,0,0,Yes
V1,58,198,229,15.66,0,0,0,0,0,0,0,Yes
V1,59,586,603,2.90,0,0,0,0,0,0,0,Yes
V1,60,165,165,0.00,0,0,0,0,0,0,0,Yes
V1,61,164,164,0.00,0,0,0,0,0,0,0,Yes
V1,62,1916,2298,19.94,0,0,0,0,0,0,0,Yes
V1,63,496,496,0.00,0,0,0,0,0,0,0,Yes
V1,64,1157,1157,0.00,0,0,0,0,0,0,0,Yes
V1,65,2645,2756,4.20,0,0,0,0,0,0,0,Yes
V1,66,1007,1007,0.00,0,0,0,0,0,0,0,Yes
V1,67,716,750,4.75,0,0,0,0,0,0,0,Yes
V1,68,872,1015,16.40,0,0,0,0,0,0,0,Yes
V1,69,1286,1393,8.32,0,0,0,0,0,1,1,No
V1,70,1834,2016,9.92,0,0,0,0,0,0,0,Yes
V1,71,3031,3533,16.56,0,0,0,0,0,0,0,Yes
V1,72,1869,2117,13.27,0,0,0,0,0,0,0,Yes
V1,73,496,549,10.69,0,0,0,0,0,0,0,Yes
V1,74,731,731,0.00,0,0,0,0,0,0,0,Yes
V1,75,2569,2697,4.98,0,0,0,0,0,0,0,Yes
V1,76,877,877,0.00,0,0,0,0,0,0,0,Yes
V1,77,1879,1966,4.63,0,0,0,0,0,0,0,Yes
V1,78,947,986,4.12,0,0,0,0,0,0,0,Yes
V1,79,789,913,15.72,0,0,0,0,0,0,0,Yes
V1,80,655,667,1.83,0,0,0,0,0,0,0,Yes
V1,81,1314,1342,2.13,0,0,0,0,0,0,0,Yes
V1,82,279,313,12.19,0,0,0,0,0,0,0,Yes
V1,83,2281,2337,2.46,0,0,0,0,0,0,0,Yes
V1,84,551,551,0.00,0,0,0,0,0,0,0,Yes
V1,85,1807,1807,0.00,0,0,0,0,0,0,0,Yes
V1,86,860,860,0.00,0,0,0,0,0,0,0,Yes
V1,87,3023,3301,9.20,0,0,0,0,0,0,0,Yes
V1,88,1125,1141,1.42,0,0,0,0,0,0,0,Yes
V1,89,1806,1806,0.00,0,0,0,0,0,0,0,Yes
V1,90,873,873,0.00,0,0,0,0,0,0,0,Yes
V1,91,2023,2251,11.27,0,0,0,0,0,0,0,Yes
V1,92,939,1012,7.77,0,0,0,0,0,0,0,Yes
V1,93,328,380,15.85,0,0,0,0,0,0,0,Yes
V1,94,519,524,0.96,0,0,0,0,0,0,0,Yes
V1,95,193,193,0.00,0,0,0,0,0,0,0,Yes
V1,96,72,72,0.00,0,0,0,0,0,0,0,Yes
V1,97,419,419,0.00,0,0,0,0,0,0,0,Yes
V1,98,499,523,4.81,0,0,0,0,0,0,0,Yes
V1,99,1806,1806,0.00,0,0,0,0,0,0,0,Yes
V1,100,1356,1356,0.00,0,0,0,0,0,0,0,Yes
V1,101,536,553,3.17,0,0,0,0,0,0,0,Yes
V1,102,987,987,0.00,0,0,0,0,0,0,0,Yes
V1,103,2179,2642,21.25,0,0,0,0,0,0,0,Yes
V1,104,1236,1310,5.99,0,0,0,0,0,0,0,Yes
V1,105,2102,2154,2.47,0,0,0,0,0,0,0,Yes
V1,106,1037,1037,0.00,0,0,0,0,0,0,0,Yes
V1,107,1100,1128,2.55,0,0,0,0,0,0,0,Yes
V1,108,2524,2820,11.73,0,0,0,0,0,0,0,Yes
V1,109,562,562,0.00,0,0,0,0,0,0,0,Yes
V1,110,1426,1426,0.00,0,0,0,0,0,0,0,Yes
V1,111,59,59,0.00,0,0,0,0,0,0,0,Yes
V1,112,2212,2424,9.58,0,0,0,0,0,0,0,Yes
V1,113,1238,1238,0.00,0,0,0,0,0,0,0,Yes
V1,114,992,1075,8.37,0,0,0,0,0,0,0,Yes
V1,115,1663,1744,4.87,0,0,0,0,0,0,0,Yes
V1,116,649,693,6.78,0,0,0,0,0,0,0,Yes
V1,117,1539,1539,0.00,0,0,0,0,0,0,0,Yes
V1,118,1347,1584,17.59,0,0,0,0,0,0,0,Yes
V1,119,1834,1834,0.00,0,0,0,0,0,0,0,Yes
V1,120,2392,2392,0.00,0,0,0,0,0,0,0,Yes
V1,121,1218,1218,0.00,0,0,0,0,0,0,0,Yes
V1,122,1534,1666,8.60,0,0,0,0,0,0,0,Yes
V1,123,1404,1404,0.00,0,0,0,0,0,0,0,Yes
V1,124,96,111,15.62,0,0,0,0,0,0,0,Yes
V1,125,1082,1082,0.00,0,0,0,0,0,0,0,Yes
V1,126,563,645,14.56,0,0,0,0,0,0,0,Yes
V1,127,655,662,1.07,0,0,0,0,0,0,0,Yes
V1,128,982,982,0.00,0,0,0,0,0,0,0,Yes
V1,129,638,638,0.00,0,0,0,0,0,0,0,Yes
V1,130,646,646,0.00,0,0,0,0,0,0,0,Yes
V1,131,1110,1181,6.40,0,0,0,0,0,0,0,Yes
V1,132,1385,1603,15.74,0,0,0,0,0,0,0,Yes
V1,133,645,679,5.27,0,0,0,0,0,0,0,Yes
V1,134,741,845,14.04,0,0,0,0,0,0,0,Yes
V1,135,1895,1895,0.00,0,0,0,0,0,0,0,Yes
V1,136,667,764,14.54,0,0,0,0,0,0,0,Yes
V1,137,874,874,0.00,0,0,0,0,0,0,0,Yes
V1,138,329,329,0.00,0,0,0,0,0,0,0,Yes
V1,139,1882,1979,5.15,0,0,0,0,0,0,0,Yes
V1,140,2525,2657,5.23,0,0,0,0,0,0,0,Yes
V1,141,267,275,3.00,0,0,0,0,0,0,0,Yes
V1,142,1214,1214,0.00,0,0,0,0,0,0,0,Yes
V1,143,1267,1371,8.21,0,0,0,0,0,0,0,Yes
V1,144,433,433,0.00,0,0,0,0,0,0,0,Yes
V1,145,2043,2240,9.64,0,0,0,0,0,0,0,Yes
V1,146,2021,2147,6.23,0,0,0,0,0,0,0,Yes
V1,147,1672,1759,5.20,0,0,0,0,0,0,0,Yes
V1,148,337,337,0.00,0,0,0,0,0,0,0,Yes
V1,149,2140,2140,0.00,0,0,0,0,0,0,0,Yes
V1,150,1577,1750,10.97,0,0,0,0,0,0,0,Yes
V1,151,2704,3180,17.60,0,0,0,0,0,0,0,Yes
V1,152,1667,1667,0.00,0,0,0,0,0,0,0,Yes
V1,153,1143,1216,6.39,0,0,0,0,0,0,0,Yes
V1,154,1329,1526,14.82,0,0,0,0,0,0,0,Yes
V1,155,517,544,5.22,0,0,0,0,0,0,0,Yes
V1,156,2335,2590,10.92,0,0,0,0,0,0,0,Yes
V1,157,557,557,0.00,0,0,0,0,0,0,0,Yes
V1,158,1455,1611,10.72,0,0,0,0,0,0,0,Yes
V1,159,507,583,14.99,0,0,0,0,0,0,0,Yes
V1,160,22,22,0.00,0,0,0,0,0,0,0,Yes
V1,161,1549,1574,1.61,0,0,0,0,0,0,0,Yes
V1,162,155,168,8.39,0,0,0,0,0,0,0,Yes
V1,163,658,658,0.00,0,0,0,0,0,0,0,Yes
V1,164,287,355,23.69,0,0,0,0,0,0,0,Yes
V1,165,1178,1178,0.00,0,0,0,0,0,0,0,Yes
V1,166,815,839,2.94,0,0,0,0,0,0,0,Yes
V1,167,142,142,0.00,0,0,0,0,0,0,0,Yes
V1,168,2328,2328,0.00,0,0,0,0,0,0,0,Yes
V1,169,2515,2515,0.00,0,0,0,0,0,0,0,Yes
V1,170,1699,1699,0.00,0,0,0,0,0,0,0,Yes
V1,171,1405,1432,1.92,0,0,0,0,0,0,0,Yes
V1,172,1261,1321,4.76,0,0,0,0,0,0,0,Yes
V1,173,788,788,0.00,0,0,0,0,0,0,0,Yes
V1,174,1484,1562,5.26,0,0,0,0,0,0,0,Yes
V1,175,2098,2121,1.10,0,0,0,0,0,0,0,Yes
V1,176,895,957,6.93,0,0,0,0,0,0,0,Yes
V1,177,1529,1685,10.20,0,0,0,0,0,0,0,Yes
V1,178,1381,1434,3.84,0,0,0,0,0,0,0,Yes
V1,179,3033,3473,14.51,0,0,0,0,0,0,0,Yes
V1,180,1068,1068,0.00,0,0,0,0,0,0,0,Yes
V1,181,265,273,3.02,0,0,0,0,0,0,0,Yes
V1,182,2309,2309,0.00,0,0,0,0,0,0,0,Yes
V1,183,490,522,6.53,0,0,0,0,0,0,0,Yes
V1,184,383,429,12.01,0,0,0,0,0,0,0,Yes
V1,185,140,143,2.14,0,0,0,0,0,0,0,Yes
V1,186,1599,1911,19.51,0,0,0,0,0,0,0,Yes
V1,187,829,865,4.34,0,0,0,0,0,0,0,Yes
V1,188,1564,1598,2.17,0,0,0,0,0,0,0,Yes
V1,189,1682,1909,13.50,0,0,0,0,0,0,0,Yes
V1,190,1375,1489,8.29,0,0,0,0,0,0,0,Yes
V1,191,817,817,0.00,0,0,0,0,0,0,0,Yes
V1,192,1458,1528,4.80,0,0,0,0,0,0,0,Yes
V1,193,543,543,0.00,0,0,0,0,0,0,0,Yes
V1,194,1121,1121,0.00,0,0,0,0,0,0,0,Yes
V1,195,1243,1430,15.04,0,0,0,0,0,0,0,Yes
V1,196,861,878,1.97,0,0,0,0,0,0,0,Yes
V1,197,360,401,11.39,0,0,0,0,0,0,0,Yes
V1,198,2965,3011,1.55,0,0,0,0,0,0,0,Yes
V1,199,431,453,5.10,0,0,0,0,0,0,0,Yes
V2,0,1972,2511,27.33,0,5,0,0,0,0,5,No
V2,1,120,120,0.00,0,0,0,0,0,0,0,Yes
V2,2,76,76,0.00,0,0,0,0,0,0,0,Yes
V2,3,2320,2320,0.00,0,0,0,0,0,0,0,Yes
V2,4,2464,2539,3.04,0,0,0,0,0,0,0,Yes
V2,5,1165,1620,39.06,0,1,0,0,0,0,1,No
V2,6,1160,1293,11.47,0,0,0,0,0,0,0,Yes
V2,7,673,673,0.00,0,0,0,0,0,0,0,Yes
V2,8,1335,1407,5.39,0,0,0,0,0,0,0,Yes
V2,9,90,449,398.89,0,259,30,72,1,11,373,No
V2,10,939,1002,6.71,0,0,0,0,0,0,0,Yes
V2,11,741,741,0.00,0,0,0,0,0,0,0,Yes
V2,12,92,92,0.00,0,0,0,0,0,0,0,Yes
V2,13,4009,5248,30.91,0,179,42,180,27,30,458,No
V2,14,1258,1508,19.87,0,1,0,0,0,0,1,No
V2,15,1290,1290,0.00,0,0,0,0,0,0,0,Yes
V2,16,1715,1962,14.40,0,0,0,0,0,0,0,Yes
V2,17,1913,1913,0.00,0,0,0,0,0,0,0,Yes
V2,18,571,571,0.00,0,0,0,0,0,0,0,Yes
V2,19,2377,2377,0.00,0,0,0,0,0,0,0,Yes
V2,20,1375,1375,0.00,0,0,0,0,0,0,0,Yes
V2,21,1166,1166,0.00,0,0,0,0,0,0,0,Yes
V2,22,2331,6715,188.07,0,204,23,142,11,17,397,No
V2,23,1641,1679,2.32,0,0,0,0,0,0,0,Yes
V2,24,868,868,0.00,0,0,0,0,0,0,0,Yes
V2,25,1462,1462,0.00,0,0,0,0,0,0,0,Yes
V2,26,3228,6977,116.14,0,190,38,173,25,32,458,No
V2,27,1926,2161,12.20,0,0,0,0,0,0,0,Yes
