model,method,idx,size,jobs,machines,feasible,true_makespan,pred_makespan,gap_pct,exact_makespan,ops_emitted,ops_expected,extra_ops,precedence_violations,routing_order_violations,timing_consistency_violations,machine_capacity_violations,missing_op_count,total_violations,gen_tokens,time_s
llama,rsLoRA,18,10x6,10,6,1,955,1078,12.88,0,60,60,0,0,0,0,0,0,0,727,9.9
llama,rsLoRA,19,3x2,3,2,1,332,332,0.0,1,6,6,0,0,0,0,0,0,0,75,1.0
llama,rsLoRA,20,9x4,9,4,1,686,686,0.0,1,36,36,0,0,0,0,0,0,0,435,5.8
llama,rsLoRA,21,8x2,8,2,1,358,358,0.0,1,16,16,0,0,0,0,0,0,0,195,2.6
llama,rsLoRA,22,9x3,9,3,1,2396,2440,1.84,0,27,27,0,0,0,0,0,0,0,344,4.6
llama,rsLoRA,23,10x8,10,8,1,127,148,16.54,0,80,80,0,0,0,0,0,0,0,963,13.3
llama,rsLoRA,24,9x6,9,6,1,2960,3546,19.8,0,54,54,0,0,0,0,0,0,0,728,9.8
llama,rsLoRA,25,6x6,6,6,1,1402,1548,10.41,0,36,36,0,0,0,0,0,0,0,452,6.0
llama,rsLoRA,26,10x8,10,8,1,374,429,14.71,0,80,80,0,0,0,0,0,0,0,963,13.3
llama,rsLoRA,27,8x4,8,4,1,2277,2513,10.36,0,32,32,0,0,0,0,0,0,0,422,5.6
llama,rsLoRA,28,9x8,9,8,1,490,522,6.53,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,rsLoRA,29,5x2,5,2,1,755,755,0.0,1,10,10,0,0,0,0,0,0,0,123,1.7
llama,rsLoRA,30,10x6,10,6,1,2566,2987,16.41,0,60,60,0,0,0,0,0,0,0,794,10.8
llama,rsLoRA,31,6x2,6,2,1,280,280,0.0,1,12,12,0,0,0,0,0,0,0,147,2.0
llama,rsLoRA,32,9x7,9,7,1,1651,1737,5.21,0,63,63,0,0,0,0,0,0,0,811,11.0
llama,rsLoRA,33,9x2,9,2,1,300,300,0.0,1,18,18,0,0,0,0,0,0,0,219,2.9
llama,rsLoRA,34,7x5,7,5,1,1580,1778,12.53,0,35,35,0,0,0,0,0,0,0,448,6.0
llama,rsLoRA,35,8x8,8,8,1,427,458,7.26,0,64,64,0,0,0,0,0,0,0,771,10.5
llama,rsLoRA,36,9x9,9,9,1,2614,3711,41.97,0,93,81,0,0,0,0,0,0,0,1237,17.3
llama,rsLoRA,37,10x5,10,5,1,65,73,12.31,0,50,50,0,0,0,0,0,0,0,603,8.1
llama,rsLoRA,38,9x3,9,3,1,521,534,2.5,0,27,27,0,0,0,0,0,0,0,327,4.3
llama,rsLoRA,39,4x2,4,2,1,309,309,0.0,1,8,8,0,0,0,0,0,0,0,99,1.3
llama,rsLoRA,40,10x5,10,5,1,2180,2180,0.0,1,50,50,0,0,0,0,0,0,0,651,8.8
llama,rsLoRA,41,9x2,9,2,1,1709,1709,0.0,1,18,18,0,0,0,0,0,0,0,227,3.0
llama,rsLoRA,42,6x3,6,3,1,1271,1281,0.79,0,18,18,0,0,0,0,0,0,0,228,3.0
llama,rsLoRA,43,5x4,5,4,1,1442,1442,0.0,1,20,20,0,0,0,0,0,0,0,260,3.5
llama,rsLoRA,44,8x2,8,2,1,1525,1525,0.0,1,16,16,0,0,0,0,0,0,0,201,2.7
llama,rsLoRA,45,7x2,7,2,1,523,523,0.0,1,14,14,0,0,0,0,0,0,0,171,2.3
llama,rsLoRA,46,9x8,9,8,1,857,948,10.62,0,72,72,0,0,0,0,0,0,0,867,11.9
llama,rsLoRA,47,7x3,7,3,1,1019,1019,0.0,1,21,21,0,0,0,0,0,0,0,256,3.4
